Major,Sector/Industry,Organization/Institution,Job Title/Program,Employment Status,Class Year
Political Science,"Banking, Finance, Real Estate and Insurance",Cambridge Associates,Investment Analyst,Employed,2021
Political Science,"Science, Technology, Engineering, Mathematics and Computer Science",Sesen Bio,Investor Relations Analyst,Employed,2021
Political Science,"Arts, Entertainment, Sports, Communications and Marketing",Francis Consulting Services,Communication and Public Affairs Specialist,Employed,2021
Political Science,"Consulting, Management, Sales, Human Resources and General Business",Tyton Partners,Analyst,Employed,2021
Political Science,"Education, Social & Community Services and Nonprofits",Teach For America,Teacher,Employed,2021
Political Science,"Public Policy, Politics and Law",Institute of State Effectiveness,Research Assistant,Employed,2021
Political Science,"Science, Technology, Engineering, Mathematics and Computer Science","Dentsply Sirona - Charlotte, NC",Quantitative Analyst (Finance),Employed,2021
Political Science,"Science, Technology, Engineering, Mathematics and Computer Science",Sound Aircraft Services,Line Worker,Employed,2021
Political Science,"Arts, Entertainment, Sports, Communications and Marketing",Hill+Knowlton Strategies,Fellow,Employed,2021
Political Science,"Arts, Entertainment, Sports, Communications and Marketing",Report for America,Environmental journalist/Corp member,Employed,2021
Political Science,"Consulting, Management, Sales, Human Resources and General Business",Health Care Analytics,Business Advisor,Employed,2021
Political Science,"Public Policy, Politics and Law",Berger-Hirschberg Strategies LLC,Development Associate,Employed,2021
Political Science,"Banking, Finance, Real Estate and Insurance",Alliance Bernstein,Private Client Associate,Employed,2021
Political Science,"Education, Social & Community Services and Nonprofits",Davidson College,English Teaching Assistant,Employed,2021
Political Science,"Public Policy, Politics and Law",Hudson Institute,Operations Assistant,Employed,2021
Political Science,"Education, Social & Community Services and Nonprofits",Davidson College,Union Operations Fellow,Employed,2021
Political Science,"Public Policy, Politics and Law",NYC Civilian Complaint Review Board,Investigator,Employed,2021
Political Science,"Public Policy, Politics and Law",Covington & Burling LLP,Paralegal,Employed,2021
Political Science,"Public Policy, Politics and Law",Department of Defense,Contract Specialist,Employed,2021
Political Science,"Public Policy, Politics and Law",Public Opinion Strategies,Research Analyst,Employed,2021
Political Science,"Banking, Finance, Real Estate and Insurance",Focus Financial Partners,Analyst,Employed,2021
Political Science,"Public Policy, Politics and Law","Cadwalader, Wickersham & Taft LLP",Capital Markets Paralegal,Employed,2021
Political Science,"Public Policy, Politics and Law","Merline & Meacham, P.A.",Legal Assistant,Employed,2021
Political Science,"Public Policy, Politics and Law",Army,Officer,Employed,2021
Political Science,"Public Policy, Politics and Law",Navy,Officer,Employed,2021
Political Science,"Public Policy, Politics and Law",Georgetown University,Public Policy,Continuing Education,2021
Political Science,"Public Policy, Politics and Law",University of California–Los Angeles,East Asian Studies,Continuing Education,2021
Political Science,"Public Policy, Politics and Law",University of Minnesota–Twin Cities,JD + MPP,Continuing Education,2021
Political Science,"Public Policy, Politics and Law",University of North Carolina–Chapel Hill,Law And Business (Jd/Mba),Continuing Education,2021
Political Science,"Public Policy, Politics and Law",University of North Carolina–Chapel Hill,Law,Continuing Education,2021
Political Science,"Public Policy, Politics and Law",Vanderbilt University,Education policy,Continuing Education,2021
Political Science,"Science, Technology, Engineering, Mathematics and Computer Science",Northwestern University,Masters in Data Science,Continuing Education,2021
Psychology,"Education, Social & Community Services and Nonprofits",Teach For America,Elementary Teacher,Employed,2021
Psychology,"Healthcare, Medicine, and Medical Research",Pinehurst Surgical,Medical Scribe,Employed,2021
Psychology,"Education, Social & Community Services and Nonprofits",Urban Teachers,Resident Teacher,Employed,2021
Psychology,"Healthcare, Medicine, and Medical Research",National Institutes of Health,Post bac Intramural Research Training Award,Employed,2021
Psychology,"Healthcare, Medicine, and Medical Research",Urology Specalists of the Carolinas,Medical Assistant,Employed,2021
Psychology,"Education, Social & Community Services and Nonprofits",Teach For America,SPED Teacher,Employed,2021
Psychology,"Healthcare, Medicine, and Medical Research",Palo Alto Veterans Affairs / Stanford Medical School,Clinical Research Coordinator,Employed,2021
Psychology,"Public Policy, Politics and Law",Georgia Justice Project,Fellow,Employed,2021
Psychology,"Consulting, Management, Sales, Human Resources and General Business",Fulbright Association,English Teaching Assistanship,Employed,2021
Psychology,"Education, Social & Community Services and Nonprofits",Davidson College,FIRST Program Analyst,Employed,2021
Psychology,"Banking, Finance, Real Estate and Insurance",Progressive Insurance,Claims Adjuster,Employed,2021
Psychology,"Healthcare, Medicine, and Medical Research",Massachusetts General Hospital,Clinical Research Coordinator,Employed,2021
Psychology,"Education, Social & Community Services and Nonprofits",David Lynch Foundation,Project Leader,Employed,2021
Psychology,"Arts, Entertainment, Sports, Communications and Marketing",Kent State University,Sport Administration,Continuing Education,2021
Psychology,"Education, Social & Community Services and Nonprofits",Trinity College,Development Practice,Continuing Education,2021
Psychology,"Healthcare, Medicine, and Medical Research",Columbia University,Clinical Psychology,Continuing Education,2021
Psychology,"Healthcare, Medicine, and Medical Research",University of Chicago,Psychology,Continuing Education,2021
Psychology,"Healthcare, Medicine, and Medical Research",University of Maryland–College Park,Clinical Psychological Science,Continuing Education,2021
Psychology,"Healthcare, Medicine, and Medical Research",University of Southern California,Applied Behavior Analysis (MS),Continuing Education,2021
Psychology,"Healthcare, Medicine, and Medical Research",Vanderbilt University,Prim Care Pediatric Nurse Prac,Continuing Education,2021
Psychology,"Public Policy, Politics and Law",George Washington University,Master Of Public Health,Continuing Education,2021
Sociology,"Healthcare, Medicine, and Medical Research",Powdersville Dental Associates,Dental Assistant,Employed,2021
Sociology,"Education, Social & Community Services and Nonprofits",Young Life,Staff Associate,Employed,2021
Sociology,"Healthcare, Medicine, and Medical Research",Mountain Area Health Education Center,Davidson Innovations Fellow,Employed,2021
Sociology,"Healthcare, Medicine, and Medical Research",Yale Child Study Center,Postgraduate Associate,Employed,2021
Sociology,"Banking, Finance, Real Estate and Insurance",Fidelity Investments,CRA,Employed,2021
Sociology,"Education, Social & Community Services and Nonprofits",College Advising Corps,College Advisor,Employed,2021
Sociology,"Education, Social & Community Services and Nonprofits",College Advising Corps,College Advising Counselor,Employed,2021
Sociology,"Education, Social & Community Services and Nonprofits",Fulbright U.S. Student Program,English Teaching Assistant,Employed,2021
Sociology,"Education, Social & Community Services and Nonprofits",Davidson College,,Employed,2021
Sociology,"Science, Technology, Engineering, Mathematics and Computer Science",3CK LLC,Content and communications manager,Employed,2021
